Exp_Name	Erysipelotrichia	Clostridia	Actinobacteria	Bacteroidia	Negativicutes	Coriobacteriia	Bacilli	Gammaproteobacteria	Verrucomicrobiae	Melainabacteria	Mollicutes	Deltaproteobacteria	Alphaproteobacteria	Brachyspirae	Methanobacteria	Lentisphaeria
A02	5.239615483481561	69.74500029881125	1.9628902551327752	17.802648663771656	0.5228695898517425	0.4306511920699423	0.5442364718436152	1.397252162355708	0.07263883413618026	0	0.852210943327288	0.2744851669042789	0.33262131514826154	0.09857198249780537	0	0.2390929282671656
A11	11.02427864407329	56.38566843506503	4.794641358570808	19.59151683858965	2.856921078865399	1.3881948177807837	0.25750566886651993	0.3951374104747741	1.252885291249821	0.020643338350581835	0.5948770378744169	0.19014868202197446	0.029060330292907187	0	0.1507122835310832	0
A07	2.5505739944260513	77.724403437815	4.364422962455405	13.091834198787518	0.37647574822772284	0.4271804412027154	1.0074748584995399	0	0.027784155510390512	0	0	0.10413956702911795	0.1312339814875746	0	0	0
A08	3.3142801804570237	75.44213193779814	2.383557104372164	12.682653846059477	0.6324919317398291	0.7008120478107194	0.11996964476901897	0.26092449538118384	1.6677028037831407	0	2.08113636006047	0.12000772755750827	0.020066790205424474	0	0	0
A10	7.618664966435175	70.20976871213864	5.058721215733211	6.506690935517284	3.3789762539669184	3.9463928013068488	1.7273140080562255	0.12220950126671393	0.01230384155857234	0	0.9306949587784635	0.028620234753531447	0	0	0	0
A04	1.792886472563346	77.9063251635109	7.765340830537218	9.063569324057228	0.6158404948527252	0.8462793432025433	0.9975644290369814	0.5263787588617694	0.09915689559710959	0	0	0.13736785772898505	0	0	0	0
A05	1.9131746515483858	71.67945192196646	2.6081486892037105	19.19434397746199	2.9463184492929297	0.29931905717526586	0.4030338390973637	0.39620115024268826	0.13105964687069196	0	0	0.09660837194026779	0.06912143789865986	0	0	0
A01	2.782310560384445	76.96420517294764	4.935216290043319	5.307289886458394	5.0351671763292165	2.4807129024616263	1.398561782541891	0.07518672336292374	0.31392965079352747	0	0.007496697219881834	0.3427766687725977	0	0	0	0
A06	0.7187786197377032	80.33171606269637	7.2040236882340984	7.981949041526813	1.0730674493112449	1.0374696805702117	0.4586223653471921	0.1952796935004278	0.0032098000860981673	0	0.33744482420282934	0.13679458204413258	0	0.039791559205699434	0	0
A09	5.7575420610013435	61.7011947037233	1.876962154834061	23.160457261790114	1.5663267785882535	1.0113750005539472	1.6703042472096923	0.648201025078272	0.016659713648474454	0.40383816855178656	1.2775819829256025	0.20736087913887985	0.2500206029767909	0	0	0
A12	5.612462759442603	49.08405103377874	28.161836414678305	7.191935907861456	6.527175035521257	1.0881594239703516	1.2260641753667634	0.711411473928474	0.06453147982580106	0	0.004686643786231362	0.17168704292149103	0	0	0	0
A13	7.191140381249886	52.446947481934394	2.528796216892822	32.708027633564974	2.1872560733941966	0.7907410193975432	0.7705267315154081	0.32374944206158923	0.0610772488071708	0	0.21383570913286865	0.2490195982395101	0	0	0.05271373647051176	0
A14	2.8684145832418966	80.36477070791446	4.156983454232854	8.77572818003646	0.46282522276510113	1.6392398213371377	0.2597249897166044	0.030714081804574335	0.5327486532914388	0	0.21821621671532931	0.00452115198273444	0	0	0	0
A03	1.6463031772943244	76.8884359888676	6.9068323536090785	11.76733095915876	0.6809517520257387	1.026668740572953	0.27525626877522924	0.44544042605823	0.02387433780622202	0	0.022271619261223778	0.06842130596437576	0.0017144424633109311	0	0	0
